19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_LHS             | Partition x6eq2mx5&x5eqx4px3_0.0: When n = 1, x_4 > 1 * x_3 :
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_LHS             |   [1] : x6 - x5*2 = 0 * x_3
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_LHS             |   [2] : x6 - (x5*1 + x4*1) = 1 * x_3
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_LHS             |     > [1] : x6 - (x5*1 + x4*1) - 1*x3 = 0 * x_2
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_LHS             |     > [2] : x6 - (x5*1 + x4*1) - 0*x3 > 1 * x_2
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_LHS             |   [3] : x6 - x5*1 > 3 * x_3
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_LHS             |   [4] : x6 - x4*2 = 2 * x_3
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_LHS             |     > [1] : x6 - x4*2 - 2*x3 = 0 * x_2
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_LHS             |     > [2] : x6 - x4*2 - 1*x3 > 1 * x_2
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_LHS             |     > [3] : x6 - x4*2 - 0*x3 > 2 * x_2
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_LHS             |   [5] : x6 - x4*1 > 4 * x_3
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_LHS             |   [6] : x6 - 0 > 6 * x_3
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_LHS             | ----------------------------------------
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|process_solver      | Optimizing with method=pulp
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|optimize            | Starting optimization...
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|optimize            |  [2] Using breakdown (breakdown=0.0125(20543)_6 < equ=0.0221_6)
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|optimize            |  [4] Using breakdown (breakdown=0.003124_6 < equ=0.0055543_6)
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|optimize            |  lower bound: 0.035454330(20543)_6 (< 0.11052411_6)
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|optimize            |  upper bound: 0.0520415(05432)_6 (< 0.11052411_6)
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|optimize            | ----------------------------------------
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_result          | Optimization result:
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_result          |  status: pruned
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_result          |  result: ['0.035454330(20543)_6', '0.0520415(05432)_6']
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_result          |  details: too small, pruned
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_result          | ----------------------------------------
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|process_solver      | Status: pruned
19:57:41|CRITICAL|cube.constraint.x6eq2mx5&x5...|process_solver      | ✂️ Pruned
19:57:41|CRITICAL|cube.constraint.x6eq2mx5&x5...|process_solver      | ----------------------------------------
19:57:41|CRITICAL|cube.constraint.x6eq2mx5&x5...|process_solver      | Partition [2/3] (ID: x6eq2mx5&x5eqx4px3_0.1, i_min=4)
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|process_solver      | ----------------------------------------
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_assertions      | ========================================
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_assertions      | Partition x6eq2mx5&x5eqx4px3_0.1 Solver Assertions:
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_assertions      | ========================================
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_assertions      |   [1] x6 > x5
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_assertions      |   [2] x5 > x4
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_assertions      |   [3] x4 > x3
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_assertions      |   [4] x3 > x2
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_assertions      |   [5] x2 > x1
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_assertions      |   [6] x1 > 0
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_assertions      |   [7] x6 == 2*x5
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_assertions      |   [8] x5 == x4 + x3
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_assertions      |   [9] x6 - x4*3 > 0
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_assertions      | ========================================
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_members         | ========================================
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_members         | Partition x6eq2mx5&x5eqx4px3_0.1 Members (7 total):
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_members         | ========================================
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_members         |   [0] =: x6 == x5*2
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_members         |   [1] >: x6 - (x5*1 + x4*1) > 0
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_members         |   [2] >: x6 - x5*1 > 0
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_members         |   [3] >: x6 - x4*3 > 0
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_members         |   [4] >: x6 - x4*2 > 0
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_members         |   [5] >: x6 - x4*1 > 0
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_members         |   [6] >: x6 - 0 > 0
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_members         | ========================================
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|process_solver      | ..............................
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|process_solver      | [n=1] Starting analysis
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|process_solver      | ..............................
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|get_pf_breakdown    | Breaking down: x6 - (x5*1 + x4*1) = 1 * x_3
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|get_pf_breakdown    | Breakdown complete: 2 items
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|get_pf_breakdown    | Breaking down: x6 - x4*2 = 2 * x_3
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|get_pf_breakdown    | Breakdown complete: 3 items
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_LHS             | Partition x6eq2mx5&x5eqx4px3_0.1: When n = 1, x_4 > 1 * x_3 :
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_LHS             |   [1] : x6 - x5*2 = 0 * x_3
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_LHS             |   [2] : x6 - (x5*1 + x4*1) = 1 * x_3
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_LHS             |     > [1] : x6 - (x5*1 + x4*1) - 1*x3 = 0 * x_2
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_LHS             |     > [2] : x6 - (x5*1 + x4*1) - 0*x3 > 1 * x_2
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_LHS             |   [3] : x6 - x5*1 > 2 * x_3
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_LHS             |   [4] : x6 - x4*3 > 0 * x_3
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_LHS             |   [5] : x6 - x4*2 = 2 * x_3
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_LHS             |     > [1] : x6 - x4*2 - 2*x3 = 0 * x_2
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_LHS             |     > [2] : x6 - x4*2 - 1*x3 > 1 * x_2
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_LHS             |     > [3] : x6 - x4*2 - 0*x3 > 2 * x_2
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_LHS             |   [6] : x6 - x4*1 > 3 * x_3
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_LHS             |   [7] : x6 - 0 > 4 * x_3
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_LHS             | ----------------------------------------
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|process_solver      | Optimizing with method=pulp
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|optimize            | Starting optimization...
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|optimize            |  [2] Using breakdown (breakdown=0.0125(20543)_6 < equ=0.0221_6)
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|optimize            |  [5] Using breakdown (breakdown=0.003124_6 < equ=0.0055543_6)
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|optimize            |  lower bound: 0.050533330(20543)_6 (< 0.11052411_6)
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|optimize            |  upper bound: 0.11044533(54320)_6 (< 0.11052411_6)
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|optimize            | ----------------------------------------
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_result          | Optimization result:
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_result          |  status: pruned
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_result          |  result: ['0.050533330(20543)_6', '0.11044533(54320)_6']
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_result          |  details: too small, pruned
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_result          | ----------------------------------------
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|process_solver      | Status: pruned
19:57:41|CRITICAL|cube.constraint.x6eq2mx5&x5...|process_solver      | ✂️ Pruned
19:57:41|CRITICAL|cube.constraint.x6eq2mx5&x5...|process_solver      | ----------------------------------------
19:57:41|CRITICAL|cube.constraint.x6eq2mx5&x5...|process_solver      | Partition [3/3] (ID: x6eq2mx5&x5eqx4px3_0.2, i_min=4)
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|process_solver      | ----------------------------------------
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_assertions      | ========================================
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_assertions      | Partition x6eq2mx5&x5eqx4px3_0.2 Solver Assertions:
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_assertions      | ========================================
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_assertions      |   [1] x6 > x5
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_assertions      |   [2] x5 > x4
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_assertions      |   [3] x4 > x3
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_assertions      |   [4] x3 > x2
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_assertions      |   [5] x2 > x1
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_assertions      |   [6] x1 > 0
19:57:41|INFO    |cube.constraint.x6eq2mx5&x5...|log_assertions      |   [7] x6 == 2*x5
