2025-11-27 04:39:41|INFO   |cube.optim:659      |optimize         | Starting optimization...
2025-11-27 04:39:41|INFO   |cube.optim:719      |optimize         |  [2] Using breakdown (breakdown=0.0125(20543)_6 < equ=0.0221_6)
2025-11-27 04:39:41|INFO   |cube.optim:719      |optimize         |  [4] Using breakdown (breakdown=0.003124_6 < equ=0.0055543_6)
2025-11-27 04:39:41|INFO   |cube.optim:783      |optimize         |  lower bound: 0.035454330(20543)_6 (< 0.11052411_6)
2025-11-27 04:39:41|INFO   |cube.optim:784      |optimize         |  upper bound: 0.0520415(05432)_6 (< 0.11052411_6)
2025-11-27 04:39:41|INFO   |cube.optim:785      |optimize         | ----------------------------------------
2025-11-27 04:39:41|INFO   |cube.optim:629      |log_result       | Optimization result:
2025-11-27 04:39:41|INFO   |cube.optim:631      |log_result       |  status: pruned
2025-11-27 04:39:41|INFO   |cube.optim:631      |log_result       |  result: ['0.035454330(20543)_6', '0.0520415(05432)_6']
2025-11-27 04:39:41|INFO   |cube.optim:631      |log_result       |  details: too small, pruned
2025-11-27 04:39:41|INFO   |cube.optim:632      |log_result       | ----------------------------------------
2025-11-27 04:39:41|INFO   |cube:332            |process_solver   | Status: pruned
2025-11-27 04:39:41|INFO   |cube:336            |process_solver   | ✂️ Pruned
2025-11-27 04:39:41|INFO   |cube:283            |process_solver   | ----------------------------------------
2025-11-27 04:39:41|INFO   |cube:284            |process_solver   | Partition [2/3] (ID: 0.1_, i_min=4)
2025-11-27 04:39:41|INFO   |cube:285            |process_solver   | ----------------------------------------
2025-11-27 04:39:41|INFO   |cube.partition:62   |log_assertions   | Partition 0.1_ solver assertions:
2025-11-27 04:39:41|INFO   |cube.partition:64   |log_assertions   |   [1] x6 > x5
2025-11-27 04:39:41|INFO   |cube.partition:64   |log_assertions   |   [2] x5 > x4
2025-11-27 04:39:41|INFO   |cube.partition:64   |log_assertions   |   [3] x4 > x3
2025-11-27 04:39:41|INFO   |cube.partition:64   |log_assertions   |   [4] x3 > x2
2025-11-27 04:39:41|INFO   |cube.partition:64   |log_assertions   |   [5] x2 > x1
2025-11-27 04:39:41|INFO   |cube.partition:64   |log_assertions   |   [6] x1 > 0
2025-11-27 04:39:41|INFO   |cube.partition:64   |log_assertions   |   [7] x6 == 2*x5
2025-11-27 04:39:41|INFO   |cube.partition:64   |log_assertions   |   [8] x5 == x4 + x3
2025-11-27 04:39:41|INFO   |cube.partition:64   |log_assertions   |   [9] x6 - x4*3 > 0
2025-11-27 04:39:41|INFO   |cube.partition:65   |log_assertions   | ----------------------------------------
2025-11-27 04:39:41|INFO   |cube.partition:69   |log_members      | Partition 0.1_: expr with i_min = 4 :
2025-11-27 04:39:41|INFO   |cube.partition:71   |log_members      |   [1] x6 == x5*2
2025-11-27 04:39:41|INFO   |cube.partition:71   |log_members      |   [2] x6 - (x5*1 + x4*1) > 0
2025-11-27 04:39:41|INFO   |cube.partition:71   |log_members      |   [3] x6 - x5*1 > 0
2025-11-27 04:39:41|INFO   |cube.partition:71   |log_members      |   [4] x6 - x4*3 > 0
2025-11-27 04:39:41|INFO   |cube.partition:71   |log_members      |   [5] x6 - x4*2 > 0
2025-11-27 04:39:41|INFO   |cube.partition:71   |log_members      |   [6] x6 - x4*1 > 0
2025-11-27 04:39:41|INFO   |cube.partition:71   |log_members      |   [7] x6 - 0 > 0
2025-11-27 04:39:41|INFO   |cube.partition:72   |log_members      | ----------------------------------------
2025-11-27 04:39:41|INFO   |cube:308            |process_solver   | ..............................
2025-11-27 04:39:41|INFO   |cube:309            |process_solver   | [n=1] Starting analysis
2025-11-27 04:39:41|INFO   |cube:310            |process_solver   | ..............................
2025-11-27 04:39:41|INFO   |cube.optim:446      |get_pf_breakdown | Breaking down: x6 - (x5*1 + x4*1) = 1 * x_3
2025-11-27 04:39:41|INFO   |cube.optim:532      |get_pf_breakdown | Breakdown complete: 2 items
2025-11-27 04:39:41|INFO   |cube.optim:446      |get_pf_breakdown | Breaking down: x6 - x4*2 = 2 * x_3
2025-11-27 04:39:41|INFO   |cube.optim:532      |get_pf_breakdown | Breakdown complete: 3 items
2025-11-27 04:39:41|INFO   |cube.partition:76   |log_LHS          | Partition 0.1_: When n = 1, x_4 > 1 * x_3 :
2025-11-27 04:39:41|INFO   |cube.partition:81   |log_LHS          |   [1] : x6 - x5*2 = 0 * x_3
2025-11-27 04:39:41|INFO   |cube.partition:81   |log_LHS          |   [2] : x6 - (x5*1 + x4*1) = 1 * x_3
2025-11-27 04:39:41|INFO   |cube.partition:90   |log_LHS          |     > [1] : x6 - (x5*1 + x4*1) - 1*x3 = 0 * x_2
2025-11-27 04:39:41|INFO   |cube.partition:90   |log_LHS          |     > [2] : x6 - (x5*1 + x4*1) - 0*x3 > 1 * x_2
2025-11-27 04:39:41|INFO   |cube.partition:81   |log_LHS          |   [3] : x6 - x5*1 > 2 * x_3
2025-11-27 04:39:41|INFO   |cube.partition:81   |log_LHS          |   [4] : x6 - x4*3 > 0 * x_3
2025-11-27 04:39:41|INFO   |cube.partition:81   |log_LHS          |   [5] : x6 - x4*2 = 2 * x_3
2025-11-27 04:39:41|INFO   |cube.partition:90   |log_LHS          |     > [1] : x6 - x4*2 - 2*x3 = 0 * x_2
2025-11-27 04:39:41|INFO   |cube.partition:90   |log_LHS          |     > [2] : x6 - x4*2 - 1*x3 > 1 * x_2
2025-11-27 04:39:41|INFO   |cube.partition:90   |log_LHS          |     > [3] : x6 - x4*2 - 0*x3 > 2 * x_2
2025-11-27 04:39:41|INFO   |cube.partition:81   |log_LHS          |   [6] : x6 - x4*1 > 3 * x_3
2025-11-27 04:39:41|INFO   |cube.partition:81   |log_LHS          |   [7] : x6 - 0 > 4 * x_3
2025-11-27 04:39:41|INFO   |cube.partition:94   |log_LHS          | ----------------------------------------
2025-11-27 04:39:41|INFO   |cube:318            |process_solver   | Optimizing with method=pulp
2025-11-27 04:39:41|INFO   |cube.optim:659      |optimize         | Starting optimization...
2025-11-27 04:39:41|INFO   |cube.optim:719      |optimize         |  [2] Using breakdown (breakdown=0.0125(20543)_6 < equ=0.0221_6)
2025-11-27 04:39:41|INFO   |cube.optim:719      |optimize         |  [5] Using breakdown (breakdown=0.003124_6 < equ=0.0055543_6)
2025-11-27 04:39:41|INFO   |cube.optim:783      |optimize         |  lower bound: 0.050533330(20543)_6 (< 0.11052411_6)
2025-11-27 04:39:41|INFO   |cube.optim:784      |optimize         |  upper bound: 0.11044533(54320)_6 (< 0.11052411_6)
2025-11-27 04:39:41|INFO   |cube.optim:785      |optimize         | ----------------------------------------
2025-11-27 04:39:41|INFO   |cube.optim:629      |log_result       | Optimization result:
2025-11-27 04:39:41|INFO   |cube.optim:631      |log_result       |  status: pruned
2025-11-27 04:39:41|INFO   |cube.optim:631      |log_result       |  result: ['0.050533330(20543)_6', '0.11044533(54320)_6']
2025-11-27 04:39:41|INFO   |cube.optim:631      |log_result       |  details: too small, pruned
2025-11-27 04:39:41|INFO   |cube.optim:632      |log_result       | ----------------------------------------
2025-11-27 04:39:41|INFO   |cube:332            |process_solver   | Status: pruned
2025-11-27 04:39:41|INFO   |cube:336            |process_solver   | ✂️ Pruned
2025-11-27 04:39:41|INFO   |cube:283            |process_solver   | ----------------------------------------
2025-11-27 04:39:41|INFO   |cube:284            |process_solver   | Partition [3/3] (ID: 0.2_, i_min=4)
2025-11-27 04:39:41|INFO   |cube:285            |process_solver   | ----------------------------------------
2025-11-27 04:39:41|INFO   |cube.partition:62   |log_assertions   | Partition 0.2_ solver assertions:
2025-11-27 04:39:41|INFO   |cube.partition:64   |log_assertions   |   [1] x6 > x5
2025-11-27 04:39:41|INFO   |cube.partition:64   |log_assertions   |   [2] x5 > x4
2025-11-27 04:39:41|INFO   |cube.partition:64   |log_assertions   |   [3] x4 > x3
2025-11-27 04:39:41|INFO   |cube.partition:64   |log_assertions   |   [4] x3 > x2
2025-11-27 04:39:41|INFO   |cube.partition:64   |log_assertions   |   [5] x2 > x1
2025-11-27 04:39:41|INFO   |cube.partition:64   |log_assertions   |   [6] x1 > 0
2025-11-27 04:39:41|INFO   |cube.partition:64   |log_assertions   |   [7] x6 == 2*x5
2025-11-27 04:39:41|INFO   |cube.partition:64   |log_assertions   |   [8] x5 == x4 + x3
2025-11-27 04:39:41|INFO   |cube.partition:64   |log_assertions   |   [9] x6 == x4*3
2025-11-27 04:39:41|INFO   |cube.partition:65   |log_assertions   | ----------------------------------------
2025-11-27 04:39:41|INFO   |cube.partition:69   |log_members      | Partition 0.2_: expr with i_min = 4 :
2025-11-27 04:39:41|INFO   |cube.partition:71   |log_members      |   [1] x6 == x5*2
2025-11-27 04:39:41|INFO   |cube.partition:71   |log_members      |   [2] x6 - (x5*1 + x4*1) > 0
2025-11-27 04:39:41|INFO   |cube.partition:71   |log_members      |   [3] x6 - x5*1 > 0
2025-11-27 04:39:41|INFO   |cube.partition:71   |log_members      |   [4] x6 == x4*3
2025-11-27 04:39:41|INFO   |cube.partition:71   |log_members      |   [5] x6 - x4*2 > 0
2025-11-27 04:39:41|INFO   |cube.partition:71   |log_members      |   [6] x6 - x4*1 > 0
2025-11-27 04:39:41|INFO   |cube.partition:71   |log_members      |   [7] x6 - 0 > 0
2025-11-27 04:39:41|INFO   |cube.partition:72   |log_members      | ----------------------------------------
2025-11-27 04:39:41|INFO   |cube:308            |process_solver   | ..............................
2025-11-27 04:39:41|INFO   |cube:309            |process_solver   | [n=1] Starting analysis
2025-11-27 04:39:41|INFO   |cube:310            |process_solver   | ..............................
2025-11-27 04:39:41|INFO   |cube.optim:446      |get_pf_breakdown | Breaking down: x6 - (x5*1 + x4*1) = 1 * x_3
2025-11-27 04:39:41|INFO   |cube.optim:532      |get_pf_breakdown | Breakdown complete: 2 items
2025-11-27 04:39:41|INFO   |cube.optim:446      |get_pf_breakdown | Breaking down: x6 - x5*1 = 3 * x_3
2025-11-27 04:39:41|INFO   |cube.optim:532      |get_pf_breakdown | Breakdown complete: 4 items
2025-11-27 04:39:41|INFO   |cube.optim:446      |get_pf_breakdown | Breaking down: x6 - x4*2 = 2 * x_3
2025-11-27 04:39:41|INFO   |cube.optim:532      |get_pf_breakdown | Breakdown complete: 3 items
2025-11-27 04:39:41|INFO   |cube.optim:446      |get_pf_breakdown | Breaking down: x6 - x4*1 = 4 * x_3
2025-11-27 04:39:41|INFO   |cube.optim:532      |get_pf_breakdown | Breakdown complete: 5 items
2025-11-27 04:39:41|INFO   |cube.optim:446      |get_pf_breakdown | Breaking down: x6 - 0 = 6 * x_3
2025-11-27 04:39:41|INFO   |cube.optim:532      |get_pf_breakdown | Breakdown complete: 7 items
2025-11-27 04:39:41|INFO   |cube.partition:76   |log_LHS          | Partition 0.2_: When n = 1, x_4 > 1 * x_3 :
2025-11-27 04:39:41|INFO   |cube.partition:81   |log_LHS          |   [1] : x6 - x5*2 = 0 * x_3
2025-11-27 04:39:41|INFO   |cube.partition:81   |log_LHS          |   [2] : x6 - (x5*1 + x4*1) = 1 * x_3
2025-11-27 04:39:41|INFO   |cube.partition:90   |log_LHS          |     > [1] : x6 - (x5*1 + x4*1) - 1*x3 = 0 * x_2
2025-11-27 04:39:41|INFO   |cube.partition:90   |log_LHS          |     > [2] : x6 - (x5*1 + x4*1) - 0*x3 > 1 * x_2
2025-11-27 04:39:41|INFO   |cube.partition:81   |log_LHS          |   [3] : x6 - x5*1 = 3 * x_3
2025-11-27 04:39:41|INFO   |cube.partition:90   |log_LHS          |     > [1] : x6 - x5*1 - 3*x3 = 0 * x_2
2025-11-27 04:39:41|INFO   |cube.partition:90   |log_LHS          |     > [2] : x6 - x5*1 - 2*x3 > 1 * x_2
2025-11-27 04:39:41|INFO   |cube.partition:90   |log_LHS          |     > [3] : x6 - x5*1 - 1*x3 > 2 * x_2
2025-11-27 04:39:41|INFO   |cube.partition:90   |log_LHS          |     > [4] : x6 - x5*1 - 0*x3 > 3 * x_2
2025-11-27 04:39:41|INFO   |cube.partition:81   |log_LHS          |   [4] : x6 - x4*3 = 0 * x_3
2025-11-27 04:39:41|INFO   |cube.partition:81   |log_LHS          |   [5] : x6 - x4*2 = 2 * x_3
2025-11-27 04:39:41|INFO   |cube.partition:90   |log_LHS          |     > [1] : x6 - x4*2 - 2*x3 = 0 * x_2
2025-11-27 04:39:41|INFO   |cube.partition:90   |log_LHS          |     > [2] : x6 - x4*2 - 1*x3 > 1 * x_2
2025-11-27 04:39:41|INFO   |cube.partition:90   |log_LHS          |     > [3] : x6 - x4*2 - 0*x3 > 2 * x_2
2025-11-27 04:39:41|INFO   |cube.partition:81   |log_LHS          |   [6] : x6 - x4*1 = 4 * x_3
2025-11-27 04:39:41|INFO   |cube.partition:90   |log_LHS          |     > [1] : x6 - x4*1 - 4*x3 = 0 * x_2
2025-11-27 04:39:41|INFO   |cube.partition:90   |log_LHS          |     > [2] : x6 - x4*1 - 3*x3 > 1 * x_2
