2025-11-27 11:54:04|INFO   |cube:120            |setup_logger     | 日志文件: e:\vscode_workplace\cube\logs\cube_20251127_115404.log
2025-11-27 11:54:04|INFO   |cube:425            |solve_constraints| ================================================================================
2025-11-27 11:54:04|INFO   |cube:426            |solve_constraints| Starting solve_constraints
2025-11-27 11:54:04|INFO   |cube:427            |solve_constraints| Constraints: ['x6 == 2 * x5', 'x5 == x4 + x2']
2025-11-27 11:54:04|INFO   |cube:428            |solve_constraints| n_max: 36, max_depth: 10
2025-11-27 11:54:04|INFO   |cube:429            |solve_constraints| ================================================================================
2025-11-27 11:54:04|INFO   |cube:436            |solve_constraints| Solver ID: x6eq2mx5&x5eqx4px2_0
2025-11-27 11:54:04|INFO   |cube:445            |solve_constraints| Initial solver is satisfiable
2025-11-27 11:54:04|INFO   |cube:449            |solve_constraints| Optimizer initialized with n_max=36
2025-11-27 11:54:04|INFO   |cube:452            |solve_constraints| Starting recursive processing...
2025-11-27 11:54:04|INFO   |cube:260            |process_solver   | ========================================
2025-11-27 11:54:04|INFO   |cube:261            |process_solver   | [Depth 0] Processing solver (ID: x6eq2mx5&x5eqx4px2_0)
2025-11-27 11:54:04|INFO   |cube:262            |process_solver   | ========================================
2025-11-27 11:54:04|INFO   |cube.smt:153        |log_assertions   | Solver x6eq2mx5&x5eqx4px2_0 assertions:
2025-11-27 11:54:04|INFO   |cube.smt:155        |log_assertions   |   [1] x6 > x5
2025-11-27 11:54:04|INFO   |cube.smt:155        |log_assertions   |   [2] x5 > x4
2025-11-27 11:54:04|INFO   |cube.smt:155        |log_assertions   |   [3] x4 > x3
2025-11-27 11:54:04|INFO   |cube.smt:155        |log_assertions   |   [4] x3 > x2
2025-11-27 11:54:04|INFO   |cube.smt:155        |log_assertions   |   [5] x2 > x1
2025-11-27 11:54:04|INFO   |cube.smt:155        |log_assertions   |   [6] x1 > 0
2025-11-27 11:54:04|INFO   |cube.smt:155        |log_assertions   |   [7] x6 == 2*x5
2025-11-27 11:54:04|INFO   |cube.smt:155        |log_assertions   |   [8] x5 == x4 + x2
2025-11-27 11:54:04|INFO   |cube.smt:156        |log_assertions   | ----------------------------------------
2025-11-27 11:54:04|INFO   |cube.smt:412        |decompose        | Solver x6eq2mx5&x5eqx4px2_0 开始分解...
2025-11-27 11:54:04|INFO   |cube.smt:416        |decompose        | Solver x6eq2mx5&x5eqx4px2_0 分解完成: 生成 3 个Partitions, i_min=4
2025-11-27 11:54:04|INFO   |cube:284            |process_solver   | ----------------------------------------
2025-11-27 11:54:04|INFO   |cube:285            |process_solver   | Partition [1/3] (ID: x6eq2mx5&x5eqx4px2_0.0, i_min=4)
2025-11-27 11:54:04|INFO   |cube:286            |process_solver   | ----------------------------------------
2025-11-27 11:54:04|INFO   |cube.partition:62   |log_assertions   | Partition x6eq2mx5&x5eqx4px2_0.0 solver assertions:
2025-11-27 11:54:04|INFO   |cube.partition:64   |log_assertions   |   [1] x6 > x5
2025-11-27 11:54:04|INFO   |cube.partition:64   |log_assertions   |   [2] x5 > x4
2025-11-27 11:54:04|INFO   |cube.partition:64   |log_assertions   |   [3] x4 > x3
2025-11-27 11:54:04|INFO   |cube.partition:64   |log_assertions   |   [4] x3 > x2
2025-11-27 11:54:04|INFO   |cube.partition:64   |log_assertions   |   [5] x2 > x1
2025-11-27 11:54:04|INFO   |cube.partition:64   |log_assertions   |   [6] x1 > 0
2025-11-27 11:54:04|INFO   |cube.partition:64   |log_assertions   |   [7] x6 == 2*x5
2025-11-27 11:54:04|INFO   |cube.partition:64   |log_assertions   |   [8] x5 == x4 + x2
2025-11-27 11:54:04|INFO   |cube.partition:64   |log_assertions   |   [9] And(Not(x6 - x4*3 > 0), Not(x6 == x4*3))
2025-11-27 11:54:04|INFO   |cube.partition:65   |log_assertions   | ----------------------------------------
2025-11-27 11:54:04|INFO   |cube.partition:69   |log_members      | Partition x6eq2mx5&x5eqx4px2_0.0: expr with i_min = 4 :
2025-11-27 11:54:04|INFO   |cube.partition:71   |log_members      |   [1] x6 == x5*2
