2025-11-27 16:51:08 | INFO    | cube.x6eq2mx5&x5eqx4px2.partition.x6eq2mx5&x5eqx4px2_0.0 |   [2] x5 > x4
2025-11-27 16:51:08 | INFO    | cube.x6eq2mx5&x5eqx4px2.partition.x6eq2mx5&x5eqx4px2_0.0 |   [3] x4 > x3
2025-11-27 16:51:08 | INFO    | cube.x6eq2mx5&x5eqx4px2.partition.x6eq2mx5&x5eqx4px2_0.0 |   [4] x3 > x2
2025-11-27 16:51:08 | INFO    | cube.x6eq2mx5&x5eqx4px2.partition.x6eq2mx5&x5eqx4px2_0.0 |   [5] x2 > x1
2025-11-27 16:51:08 | INFO    | cube.x6eq2mx5&x5eqx4px2.partition.x6eq2mx5&x5eqx4px2_0.0 |   [6] x1 > 0
2025-11-27 16:51:08 | INFO    | cube.x6eq2mx5&x5eqx4px2.partition.x6eq2mx5&x5eqx4px2_0.0 |   [7] x6 == 2*x5
2025-11-27 16:51:08 | INFO    | cube.x6eq2mx5&x5eqx4px2.partition.x6eq2mx5&x5eqx4px2_0.0 |   [8] x5 == x4 + x2
2025-11-27 16:51:08 | INFO    | cube.x6eq2mx5&x5eqx4px2.partition.x6eq2mx5&x5eqx4px2_0.0 |   [9] And(Not(x6 - x4*3 > 0), Not(x6 == x4*3))
2025-11-27 16:51:08 | INFO    | cube.x6eq2mx5&x5eqx4px2.partition.x6eq2mx5&x5eqx4px2_0.0 | ========================================
2025-11-27 16:51:08 | INFO    | cube.x6eq2mx5&x5eqx4px2.partition.x6eq2mx5&x5eqx4px2_0.0 | ========================================
2025-11-27 16:51:08 | INFO    | cube.x6eq2mx5&x5eqx4px2.partition.x6eq2mx5&x5eqx4px2_0.0 | Partition x6eq2mx5&x5eqx4px2_0.0 Members (6 total):
2025-11-27 16:51:08 | INFO    | cube.x6eq2mx5&x5eqx4px2.partition.x6eq2mx5&x5eqx4px2_0.0 | ========================================
2025-11-27 16:51:08 | INFO    | cube.x6eq2mx5&x5eqx4px2.partition.x6eq2mx5&x5eqx4px2_0.0 |   [0] =: x6 == x5*2
2025-11-27 16:51:08 | INFO    | cube.x6eq2mx5&x5eqx4px2.partition.x6eq2mx5&x5eqx4px2_0.0 |   [1] >: x6 - (x5*1 + x4*1) > 0
2025-11-27 16:51:08 | INFO    | cube.x6eq2mx5&x5eqx4px2.partition.x6eq2mx5&x5eqx4px2_0.0 |   [2] >: x6 - x5*1 > 0
2025-11-27 16:51:08 | INFO    | cube.x6eq2mx5&x5eqx4px2.partition.x6eq2mx5&x5eqx4px2_0.0 |   [3] >: x6 - x4*2 > 0
2025-11-27 16:51:08 | INFO    | cube.x6eq2mx5&x5eqx4px2.partition.x6eq2mx5&x5eqx4px2_0.0 |   [4] >: x6 - x4*1 > 0
2025-11-27 16:51:08 | INFO    | cube.x6eq2mx5&x5eqx4px2.partition.x6eq2mx5&x5eqx4px2_0.0 |   [5] >: x6 - 0 > 0
2025-11-27 16:51:08 | INFO    | cube.x6eq2mx5&x5eqx4px2.partition.x6eq2mx5&x5eqx4px2_0.0 | ========================================
2025-11-27 16:51:08 | INFO    | cube | ..............................
2025-11-27 16:51:08 | INFO    | cube | [n=1] Starting analysis
2025-11-27 16:51:08 | INFO    | cube | ..............................
2025-11-27 16:51:08 | INFO    | cube.partition | Partition x6eq2mx5&x5eqx4px2_0.0: When n = 1, x_4 > 1 * x_3 :
2025-11-27 16:51:08 | INFO    | cube.partition |   [1] : x6 - x5*2 = 0 * x_3
2025-11-27 16:51:08 | INFO    | cube.partition |   [2] : x6 - (x5*1 + x4*1) > 0 * x_3
2025-11-27 16:51:08 | INFO    | cube.partition |   [3] : x6 - x5*1 > 1 * x_3
2025-11-27 16:51:08 | INFO    | cube.partition |   [4] : x6 - x4*2 > 0 * x_3
2025-11-27 16:51:08 | INFO    | cube.partition |   [5] : x6 - x4*1 > 1 * x_3
2025-11-27 16:51:08 | INFO    | cube.partition |   [6] : x6 - 0 > 2 * x_3
2025-11-27 16:51:08 | INFO    | cube.partition | ----------------------------------------
2025-11-27 16:51:08 | INFO    | cube | Optimizing with method=pulp
2025-11-27 16:51:08 | INFO    | cube.optim | Starting optimization...
2025-11-27 16:51:08 | INFO    | cube.optim |  lower bound: 0.1205213_6 (> 0.11052411_6)
2025-11-27 16:51:08 | INFO    | cube.optim |  upper bound: 0.15253_6 (> 0.11052411_6)
2025-11-27 16:51:08 | INFO    | cube.optim | ----------------------------------------
2025-11-27 16:51:08 | INFO    | cube.optim | Optimization result:
2025-11-27 16:51:08 | INFO    | cube.optim |  status: extend
2025-11-27 16:51:08 | INFO    | cube.optim |  result: ['0.1205213_6', '0.15253_6']
2025-11-27 16:51:08 | INFO    | cube.optim |  details: n=1 too small
2025-11-27 16:51:08 | INFO    | cube.optim | ----------------------------------------
2025-11-27 16:51:08 | INFO    | cube | Status: extend
2025-11-27 16:51:08 | INFO    | cube | 🔄 Need to extend to larger n
2025-11-27 16:51:08 | ERROR   | cube.x6eq2mx5&x5eqx4px2 | ❌ Error in solve_constraints: nmax is 2, cannot extend further
2025-11-27 16:51:08 | ERROR   | cube.x6eq2mx5&x5eqx4px2 | Traceback (most recent call last):
  File "e:\vscode_workplace\cube\main.py", line 460, in solve
    success_solvers = process_solver(
        initial_solver, opt, depth=0, max_depth=max_depth, solver_id=solver_id
    )
  File "e:\vscode_workplace\cube\main.py", line 348, in process_solver
    raise ValueError("nmax is 2, cannot extend further")
ValueError: nmax is 2, cannot extend further

2025-11-27 16:51:08 | ERROR   | cube | ❌ Group 1 ERROR: nmax is 2, cannot extend further
2025-11-27 16:51:08 | INFO    | cube | 
